abandon, acquire, awkward, bicycle, bizarre, blizzard, bulletin, burglar, canyon, ceiling,
census, chimney, collapse, compass, compute, conquer, crimson, cyclone, debris, delight,
demise, dilemma, disease, disdain, diverse, eclipse, elusive, embark, empire, encore,
endeavor, enhance, equator, ethics, extinct, faction, failure, famine, feline, festive,
fiction, flicker, fortune, fracture, friction, galaxy, gesture, glacier, gloomy, gossip,
gourmet, grapple, habitat, hazard, hijack, hostage, hygiene, ignite, illusion, immune,
impair, imposter, incline, insect, instant, jealous, journey, justice, kernel, kingdom,
laptop, lawyer, lecture, legend, leisure, library, liquid, logic, lumber, lunar,
magnify, malice, mansion, mantle, marvel, meadow, mineral, misery, mixture, module,
momentum, monarchy, monitor, mosaic, motive, muffin, multiply, mutate, mystery, nausea,
neutral, nominee, notion, nuclear, nurture, obstacle, octopus, opaque, orbit, organ,
ousted, outlaw, oxford, palace, panic, parcel, patient, patriot, pebble, penalty,
pepper, perish, phantom, physics, pigeon, pioneer, plastic, podium, poetess, polar,
pollen, potion, predator, premium, presume, prevail, prison, prophet, protein, puzzle,
quartz, quest, quiver, radar, ransom, realm, rebound, recruit, refugee, rejoice,
remedy, remote, reptile, rescue, resign, retreat, revolve, rhythm, riddle, riot,
ritual, robotic, rotate, rural, safari, savage, scholar, science, season, seize,
seldom, senate, senior, sequel, serum, shelter, shimmer, silence, skeleton, slumber,
snorkel, sorcery, souvenir, species, sphere, spiral, sponge, sprinkle, squawk, stadium,
stamina, staple, statue, stealth, sterile, stumble, summit, symbol, syntax, system
